#{"t_start": 1668550838.6051486, "env_id": null}
r,l,t
1.751629,6,0.332964
1.651629,7,0.666805
2.084963,6,0.981381
0.684963,20,1.755489
1.451629,9,2.164961
0.451629,19,2.89984
1.251629,11,3.356112
0.584963,21,4.163588
1.651629,7,4.505078
1.551629,8,4.896247
2.084963,6,5.200533
1.684963,10,5.627866
0.984963,17,6.291965
1.184963,15,6.881806
1.751629,6,7.180537
1.084963,16,7.803308
2.084963,6,8.09862
1.418296,6,8.400883
1.984963,7,8.714562
-0.115037,28,9.711094
1.651629,7,10.051281
1.684963,10,10.498477
0.684963,20,11.301864
1.651629,7,11.64957
1.251629,11,12.117129
1.884963,8,12.501274
2.084963,6,12.806278
2.084963,6,13.114438
1.451629,9,13.528959
2.084963,6,13.88052
1.651629,7,14.255139
1.651629,7,14.613666
1.751629,6,14.918806
1.251629,11,15.382809
1.384963,13,15.896432
0.584963,21,16.695094
1.084963,16,17.315394
2.084963,6,17.617812
1.984963,7,17.94963
2.084963,6,18.248462
-1.815037,45,19.793312
1.784963,9,20.196169
0.218296,18,20.91911
0.884963,18,21.645652
1.451629,9,22.065225
1.284963,14,22.650522
1.751629,6,22.961169
2.084963,6,23.275019
2.084963,6,23.591869
1.384963,13,24.133399
1.884963,8,24.495697
-1.515037,42,25.979138
1.884963,8,26.349097
1.984963,7,26.699875
0.751629,16,27.348648
1.292481,6,27.646028
1.651629,7,27.993851
1.051629,13,28.531754
0.184963,25,29.492566
2.084963,6,29.793223
1.051629,13,30.353125
1.751629,6,30.660921
2.084963,6,30.966276
0.251629,21,31.748059
1.684963,10,32.180525
2.084963,6,32.482516
0.151629,22,33.277186
1.051629,13,33.816209
2.084963,6,34.118351
1.384963,13,34.620306
1.184963,15,35.233686
0.351629,20,35.980262
1.284963,14,36.546423
1.784963,9,36.950973
0.284963,24,37.859346
1.284963,14,38.428679
1.292481,6,38.731097
1.784963,9,39.135684
0.184963,25,40.072539
1.751629,6,40.369985
1.084963,16,41.026499
1.984963,7,41.36238
1.351629,10,41.803223
1.451629,9,42.208313
1.651629,7,42.548024
1.751629,6,42.846562
1.884963,8,43.217204
1.451629,9,43.646119
1.451629,9,44.056149
2.084963,6,44.360691
2.084963,6,44.666069
1.984963,7,45.009886
0.284963,24,45.926241
1.384963,13,46.481839
1.451629,9,46.873517
0.751629,16,47.502482
1.551629,8,47.863931
0.751629,16,48.501768
0.784963,19,49.245748
2.084963,6,49.548419
1.784963,9,49.939832
2.084963,6,50.244962
2.084963,6,50.538374
1.484963,12,51.044324
1.551629,8,51.414279
1.092481,8,51.7924
2.084963,6,52.098038
1.184963,15,52.693504
1.584963,11,53.165642
1.192481,7,53.505309
1.551629,8,53.890786
1.192481,7,54.248033
0.092481,18,54.952456
1.751629,6,55.263885
1.751629,6,55.574782
0.392481,15,56.162768
1.351629,10,56.587426
1.184963,15,57.177268
2.084963,6,57.494711
1.884963,8,57.849046
1.984963,7,58.176802
1.551629,8,58.529413
-0.048371,24,59.400278
1.684963,10,59.829505
1.192481,7,60.191785
1.684963,10,60.597667
1.351629,10,61.047463
0.684963,20,61.825803
1.751629,6,62.14064
1.984963,7,62.513168
1.418296,6,62.820666
-1.615037,43,64.383657
1.018296,10,64.856148
1.751629,6,65.170056
1.251629,11,65.653208
1.051629,13,66.180206
0.384963,23,67.012068
1.284963,14,67.575411
2.084963,6,67.870994
1.751629,6,68.184335
1.684963,10,68.606876
2.084963,6,68.924595
0.851629,15,69.507954
0.051629,23,70.362353
1.651629,7,70.69733
0.651629,17,71.413577
1.051629,13,71.997567
1.551629,8,72.363475
2.084963,6,72.669946
1.384963,13,73.210784
0.051629,23,74.099363
1.284963,14,74.666824
1.184963,15,75.279811
1.384963,13,75.83619
1.418296,6,76.147472
1.651629,7,76.490177
1.184963,15,77.12602
0.884963,18,77.813496
1.784963,9,78.207926
1.451629,9,78.603817
1.251629,11,79.053026
-0.815037,35,80.278624
1.984963,7,80.610494
2.084963,6,80.907927
1.151629,12,81.420126
1.651629,7,81.751891
2.084963,6,82.055165
1.484963,12,82.556428
-0.015037,27,83.567585
1.584963,11,84.042473
0.992481,9,84.466309
1.192481,7,84.835764
2.084963,6,85.147653
2.084963,6,85.452529
1.751629,6,85.764025
1.051629,13,86.27903
1.284963,14,86.862334
0.751629,16,87.516301
1.584963,11,87.993711
2.084963,6,88.310951
1.484963,12,88.822661
-0.548371,29,89.855252
0.784963,19,90.559149
2.084963,6,90.85785
0.884963,18,91.530909
1.584963,11,91.987355
2.084963,6,92.27906
1.451629,9,92.717961
1.684963,10,93.156967
0.851629,15,93.736425
2.084963,6,94.034018
1.584963,11,94.500385
1.984963,7,94.834968
1.651629,7,95.165995
1.984963,7,95.486738
1.751629,6,95.787821
-1.115037,38,97.094487
2.084963,6,97.365746
1.584963,11,97.814598
1.584963,11,98.266779
1.484963,12,98.754416
2.084963,6,99.055536
1.018296,10,99.489935
2.084963,6,99.799474
-0.915037,36,101.045778
1.451629,9,101.428752
-0.248371,26,102.363059
1.751629,6,102.659364
1.184963,15,103.260732
0.584963,21,104.039014
0.884963,18,104.743328
2.084963,6,105.057086
2.084963,6,105.360292
2.084963,6,105.659641
1.751629,6,105.958128
1.451629,9,106.343105
0.592481,13,106.866037
1.651629,7,107.18809
2.084963,6,107.478329
1.651629,7,107.804507
1.051629,13,108.294711
1.751629,6,108.585135
1.684963,10,109.007536
1.451629,9,109.392374
0.851629,15,109.979358
-0.415037,31,111.081979
0.851629,15,111.669585
1.451629,9,112.069243
1.784963,9,112.466482
-0.907519,28,113.4955
0.651629,17,114.144916
1.284963,14,114.715723
0.851629,15,115.301704
1.984963,7,115.627507
1.984963,7,115.951668
1.751629,6,116.252746
1.751629,6,116.541215
1.651629,7,116.865419
1.651629,7,117.194697
2.084963,6,117.485966
1.451629,9,117.852241
0.851629,15,118.431339
1.151629,12,118.918488
2.084963,6,119.192168
0.492481,14,119.72873
1.784963,9,120.118895
1.251629,11,120.549776
2.084963,6,120.849615
1.984963,7,121.182135
1.984963,7,121.516867
2.084963,6,121.822021
1.051629,13,122.364046
1.551629,8,122.712345
1.284963,14,123.241774
1.584963,11,123.694656
1.751629,6,123.996652
0.884963,18,124.664886
1.451629,9,125.059347
1.184963,15,125.683763
-0.015037,27,126.661711
1.751629,6,126.957547
0.451629,19,127.68857
1.884963,8,128.049185
1.751629,6,128.327938
1.451629,9,128.706532
2.084963,6,129.002014
1.384963,13,129.523714
1.651629,7,129.844425
1.484963,12,130.318411
2.084963,6,130.608778
2.084963,6,130.92624
0.751629,16,131.552779
1.151629,12,132.062162
-0.348371,27,133.089099
0.884963,18,133.763104
1.484963,12,134.253536
1.984963,7,134.577504
1.051629,13,135.100175
1.184963,15,135.678843
2.084963,6,135.986184
1.884963,8,136.353318
1.284963,14,136.887211
1.984963,7,137.207889
1.451629,9,137.589756
1.451629,9,137.994882
1.451629,9,138.401323
1.484963,12,138.876368
1.251629,11,139.336959
1.751629,6,139.612416
1.651629,7,139.942357
1.251629,11,140.390257
1.184963,15,140.965065
1.484963,12,141.447119
1.984963,7,141.781246
2.084963,6,142.079181
1.884963,8,142.467882
-0.948371,33,143.636302
-1.448371,38,144.954635
1.384963,13,145.485589
0.951629,14,146.041039
0.551629,18,146.759207
1.084963,16,147.373741
1.884963,8,147.731313
1.184963,15,148.324965
1.451629,9,148.723548
2.084963,6,149.027122
1.984963,7,149.360869
1.751629,6,149.657947
1.151629,12,150.128496
2.084963,6,150.422987
1.751629,6,150.728292
0.984963,17,151.384573
1.484963,12,151.86992
2.084963,6,152.162127
0.384963,23,153.000908
1.884963,8,153.357087
2.084963,6,153.654719
2.084963,6,153.945659
1.984963,7,154.279666
2.084963,6,154.576742
1.751629,6,154.869107
1.184963,15,155.458605
0.051629,23,156.321482
2.084963,6,156.614752
0.151629,22,157.432066
0.718296,13,157.967327
0.584963,21,158.730935
-0.748371,31,159.832167
-0.015037,27,160.814195
1.284963,14,161.35974
1.984963,7,161.700723
1.884963,8,162.061308
2.084963,6,162.366934
1.884963,8,162.728413
1.292481,6,163.028621
1.484963,12,163.512374
1.284963,14,164.089395
1.292481,6,164.382775
1.751629,6,164.690833
1.084963,16,165.321456
-0.181704,22,166.140785
1.184963,15,166.731577
1.751629,6,167.028069
0.859148,7,167.37275
1.751629,6,167.671984
1.284963,14,168.21344
1.651629,7,168.544098
1.584963,11,169.011952
1.251629,11,169.474011
1.751629,6,169.768589
2.084963,6,170.073197
1.984963,7,170.404035
1.418296,6,170.709459
1.551629,8,171.071498
2.084963,6,171.367931
1.984963,7,171.692883
1.751629,6,171.971958
1.451629,9,172.356544
1.684963,10,172.784945
0.751629,16,173.394513
0.884963,18,174.089895
0.651629,17,174.747822
0.451629,19,175.461366
1.084963,16,176.080706
2.084963,6,176.37421
1.284963,14,176.927672
0.351629,20,177.693278
1.684963,10,178.119233
0.984963,17,178.777231
1.684963,10,179.231951
1.451629,9,179.637439
2.084963,6,179.937577
1.984963,7,180.274816
1.284963,14,180.860184
0.351629,20,181.62761
1.751629,6,181.909648
1.584963,11,182.371047
1.484963,12,182.861329
2.084963,6,183.149563
1.984963,7,183.544
0.951629,14,184.116415
1.451629,9,184.514605
1.351629,10,184.949493
1.651629,7,185.286903
1.251629,11,185.774699
1.884963,8,186.203451
1.984963,7,186.578568
1.784963,9,187.152675
1.284963,14,187.781025
2.084963,6,188.099033
1.451629,9,188.535741
1.784963,9,188.977647
2.084963,6,189.295117
2.084963,6,189.612101
1.251629,11,190.07971
1.584963,11,190.55886
2.084963,6,190.861388
1.984963,7,191.199041
1.384963,13,191.728985
0.484963,22,192.57945
2.084963,6,192.881854
1.584963,11,193.364816
0.951629,14,193.929718
1.751629,6,194.232198
0.659148,9,194.636602
0.684963,20,195.411077
0.451629,19,196.146364
1.884963,8,196.518921
1.751629,6,196.819346
1.151629,12,197.32091
1.784963,9,197.718776
2.084963,6,198.017835
